Date: 2024-11-27 21:41:30s, Time_Cost: 1305s, Epoch: [40/100], Train_PSNR: 34.30, Val_PSNR: 26.90, Val_SSIM: 0.9614
Date: 2024-11-27 22:04:37s, Time_Cost: 1387s, Epoch: [41/100], Train_PSNR: 35.41, Val_PSNR: 26.19, Val_SSIM: 0.9500
Date: 2024-11-27 22:27:13s, Time_Cost: 1355s, Epoch: [42/100], Train_PSNR: 35.48, Val_PSNR: 26.55, Val_SSIM: 0.9555
Date: 2024-11-27 22:50:05s, Time_Cost: 1372s, Epoch: [43/100], Train_PSNR: 35.55, Val_PSNR: 27.14, Val_SSIM: 0.9637
Date: 2024-11-27 23:13:07s, Time_Cost: 1383s, Epoch: [44/100], Train_PSNR: 35.61, Val_PSNR: 27.38, Val_SSIM: 0.9658
Date: 2024-11-27 23:35:54s, Time_Cost: 1367s, Epoch: [45/100], Train_PSNR: 35.63, Val_PSNR: 26.88, Val_SSIM: 0.9622
Date: 2024-11-27 23:58:39s, Time_Cost: 1364s, Epoch: [46/100], Train_PSNR: 35.65, Val_PSNR: 27.13, Val_SSIM: 0.9652
Date: 2024-11-28 00:21:04s, Time_Cost: 1346s, Epoch: [47/100], Train_PSNR: 35.71, Val_PSNR: 26.45, Val_SSIM: 0.9616
Date: 2024-11-28 00:39:40s, Time_Cost: 1116s, Epoch: [48/100], Train_PSNR: 35.74, Val_PSNR: 26.31, Val_SSIM: 0.9557
Date: 2024-11-28 00:58:24s, Time_Cost: 1124s, Epoch: [49/100], Train_PSNR: 35.78, Val_PSNR: 26.69, Val_SSIM: 0.9624
Date: 2024-11-28 01:17:02s, Time_Cost: 1118s, Epoch: [50/100], Train_PSNR: 35.79, Val_PSNR: 27.01, Val_SSIM: 0.9558
Date: 2024-11-28 01:36:02s, Time_Cost: 1140s, Epoch: [51/100], Train_PSNR: 35.83, Val_PSNR: 27.21, Val_SSIM: 0.9624
Date: 2024-11-28 01:55:04s, Time_Cost: 1142s, Epoch: [52/100], Train_PSNR: 35.85, Val_PSNR: 27.39, Val_SSIM: 0.9646
Date: 2024-11-28 02:13:39s, Time_Cost: 1116s, Epoch: [53/100], Train_PSNR: 35.88, Val_PSNR: 27.03, Val_SSIM: 0.9649
Date: 2024-11-28 02:32:19s, Time_Cost: 1119s, Epoch: [54/100], Train_PSNR: 35.92, Val_PSNR: 27.38, Val_SSIM: 0.9640
Date: 2024-11-28 02:51:10s, Time_Cost: 1131s, Epoch: [55/100], Train_PSNR: 35.93, Val_PSNR: 27.19, Val_SSIM: 0.9641
Date: 2024-11-28 03:09:56s, Time_Cost: 1126s, Epoch: [56/100], Train_PSNR: 35.95, Val_PSNR: 26.56, Val_SSIM: 0.9636
Date: 2024-11-28 03:28:21s, Time_Cost: 1106s, Epoch: [57/100], Train_PSNR: 35.98, Val_PSNR: 26.27, Val_SSIM: 0.9593
Date: 2024-11-28 03:46:40s, Time_Cost: 1099s, Epoch: [58/100], Train_PSNR: 36.02, Val_PSNR: 26.76, Val_SSIM: 0.9557
Date: 2024-11-28 04:05:00s, Time_Cost: 1099s, Epoch: [59/100], Train_PSNR: 36.02, Val_PSNR: 26.51, Val_SSIM: 0.9601
Date: 2024-11-28 04:23:28s, Time_Cost: 1108s, Epoch: [60/100], Train_PSNR: 36.04, Val_PSNR: 27.03, Val_SSIM: 0.9626
Date: 2024-11-28 04:42:15s, Time_Cost: 1127s, Epoch: [61/100], Train_PSNR: 36.68, Val_PSNR: 27.13, Val_SSIM: 0.9656
Date: 2024-11-28 05:00:43s, Time_Cost: 1108s, Epoch: [62/100], Train_PSNR: 36.72, Val_PSNR: 26.70, Val_SSIM: 0.9608
Date: 2024-11-28 05:19:03s, Time_Cost: 1101s, Epoch: [63/100], Train_PSNR: 36.74, Val_PSNR: 27.12, Val_SSIM: 0.9639
Date: 2024-11-28 05:37:19s, Time_Cost: 1096s, Epoch: [64/100], Train_PSNR: 36.79, Val_PSNR: 27.60, Val_SSIM: 0.9674
Date: 2024-11-28 05:55:48s, Time_Cost: 1109s, Epoch: [65/100], Train_PSNR: 36.81, Val_PSNR: 27.31, Val_SSIM: 0.9658
Date: 2024-11-28 06:14:31s, Time_Cost: 1122s, Epoch: [66/100], Train_PSNR: 36.82, Val_PSNR: 26.67, Val_SSIM: 0.9637
Date: 2024-11-28 06:32:57s, Time_Cost: 1107s, Epoch: [67/100], Train_PSNR: 36.82, Val_PSNR: 26.79, Val_SSIM: 0.9615
Date: 2024-11-28 06:51:11s, Time_Cost: 1094s, Epoch: [68/100], Train_PSNR: 36.86, Val_PSNR: 27.02, Val_SSIM: 0.9618
Date: 2024-11-28 07:09:30s, Time_Cost: 1099s, Epoch: [69/100], Train_PSNR: 36.88, Val_PSNR: 26.77, Val_SSIM: 0.9620
Date: 2024-11-28 07:28:01s, Time_Cost: 1111s, Epoch: [70/100], Train_PSNR: 36.88, Val_PSNR: 27.17, Val_SSIM: 0.9643
Date: 2024-11-28 07:46:50s, Time_Cost: 1129s, Epoch: [71/100], Train_PSNR: 36.90, Val_PSNR: 27.07, Val_SSIM: 0.9626
Date: 2024-11-28 08:05:10s, Time_Cost: 1100s, Epoch: [72/100], Train_PSNR: 36.90, Val_PSNR: 26.99, Val_SSIM: 0.9637
Date: 2024-11-28 08:23:44s, Time_Cost: 1114s, Epoch: [73/100], Train_PSNR: 36.93, Val_PSNR: 26.60, Val_SSIM: 0.9573
Date: 2024-11-28 08:41:57s, Time_Cost: 1092s, Epoch: [74/100], Train_PSNR: 36.95, Val_PSNR: 27.00, Val_SSIM: 0.9650
Date: 2024-11-28 09:00:26s, Time_Cost: 1109s, Epoch: [75/100], Train_PSNR: 36.96, Val_PSNR: 26.69, Val_SSIM: 0.9568
Date: 2024-11-28 09:19:15s, Time_Cost: 1129s, Epoch: [76/100], Train_PSNR: 36.97, Val_PSNR: 26.79, Val_SSIM: 0.9612
Date: 2024-11-28 09:37:30s, Time_Cost: 1095s, Epoch: [77/100], Train_PSNR: 36.98, Val_PSNR: 26.97, Val_SSIM: 0.9621
Date: 2024-11-28 09:55:38s, Time_Cost: 1088s, Epoch: [78/100], Train_PSNR: 37.01, Val_PSNR: 27.09, Val_SSIM: 0.9639
Date: 2024-11-28 10:13:52s, Time_Cost: 1094s, Epoch: [79/100], Train_PSNR: 37.01, Val_PSNR: 27.10, Val_SSIM: 0.9630
Date: 2024-11-28 10:32:02s, Time_Cost: 1090s, Epoch: [80/100], Train_PSNR: 37.01, Val_PSNR: 27.45, Val_SSIM: 0.9662
Date: 2024-11-28 10:50:07s, Time_Cost: 1086s, Epoch: [81/100], Train_PSNR: 37.36, Val_PSNR: 27.04, Val_SSIM: 0.9649
Date: 2024-11-28 11:09:35s, Time_Cost: 1167s, Epoch: [82/100], Train_PSNR: 37.39, Val_PSNR: 27.29, Val_SSIM: 0.9645
Date: 2024-11-28 11:29:15s, Time_Cost: 1181s, Epoch: [83/100], Train_PSNR: 37.41, Val_PSNR: 27.01, Val_SSIM: 0.9629
Date: 2024-11-28 11:48:32s, Time_Cost: 1156s, Epoch: [84/100], Train_PSNR: 37.41, Val_PSNR: 27.22, Val_SSIM: 0.9637
Date: 2024-11-28 12:07:10s, Time_Cost: 1119s, Epoch: [85/100], Train_PSNR: 37.43, Val_PSNR: 27.19, Val_SSIM: 0.9659
Date: 2024-11-28 12:25:59s, Time_Cost: 1129s, Epoch: [86/100], Train_PSNR: 37.43, Val_PSNR: 27.17, Val_SSIM: 0.9653
Date: 2024-11-28 12:44:46s, Time_Cost: 1127s, Epoch: [87/100], Train_PSNR: 37.44, Val_PSNR: 26.99, Val_SSIM: 0.9647
Date: 2024-11-28 13:03:40s, Time_Cost: 1134s, Epoch: [88/100], Train_PSNR: 37.44, Val_PSNR: 26.84, Val_SSIM: 0.9629
